NO,Administrative district,Riverside Park,Location,Type,Remark,Longitude,Latitude,Long_TWD97,Lat_WD97
49,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.5431847,25.07552986,304796.03,2774253.53
50,中山區,大佳河濱公園,近大直橋下游岸邊,景觀,,121.543212,25.07552705,304798.79,2774253.23
51,內湖區,彩虹河濱公園,彩虹河濱公園民權橋下,景觀,,121.570495,25.064425,307556.3214,2773034.836
52,內湖區,彩虹河濱公園,彩虹河濱公園民權橋下,景觀,,121.570541,25.064434,307560.9582,2773035.852
53,內湖區,彩虹河濱公園,彩虹河濱公園民權橋下,景觀,,121.570571,25.064448,307563.9783,2773037.416
54,內湖區,彩虹河濱公園,彩虹河濱公園民權橋下,景觀,,121.570598,25.064455,307566.6991,2773038.203
55,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561358,25.075992,306629.1659,2774312.212
56,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561354,25.075962,306628.7762,2774308.887
57,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561341,25.075932,306627.4785,2774305.559
58,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561341,25.075916,306627.4859,2774303.787
59,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.556304,25.076476,306119.0931,2774363.715
60,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.55632,25.076476,306120.7072,2774363.722
61,中山區,美堤河濱公園,兒童遊戲場旁,景觀,,121.556293,25.076466,306117.988,2774362.603
62,中山區,美堤河濱公園,美堤租借站旁,景觀,,121.561331,25.075889,306626.4895,2774300.792
63,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.5802,24.999221,308566.4113,2765816.618
64,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.580133,24.999225,308559.6462,2765817.032
65,文山區,道南左岸河濱公園,木柵租借站旁,景觀,,121.58008,24.999231,308554.2933,2765817.674
66,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567129,24.981157,307255.3407,2763810.173
67,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567136,24.981116,307256.0664,2763805.634
68,文山區,道南右岸河濱公園,恆光橋旁,景觀,,121.567147,24.981075,307257.1959,2763801.098
69,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260813,25.01442693,303096.93,2767478.61
70,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260646,25.01445213,303095.24,2767481.4
71,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260507,25.01447435,303093.82,2767483.85
72,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260312,25.01449658,303091.85,2767486.31
73,中正區,古亭河濱公園,永福橋停車場旁,景觀,,121.5260229,25.01451324,303091,2767488.15
74,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.50437,25.019374,300903.55,2768018.24
75,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504342,25.019402,300900.72,2768021.33
76,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504324,25.019419,300898.89,2768023.21
77,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504305,25.019429,300896.97,2768024.31
78,萬華區,馬場町河濱公園,馬場町疏散門旁,景觀,,121.504292,25.019466,300895.64,2768028.4
79,萬華區,華中河濱公園,遊憩區旁,景觀,,121.49299,25.01804,299755.8969,2767866.254
80,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493019,25.01798,299758.4969,2767859.618
81,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493053,25.017921,299761.9523,2767853.096
82,萬華區,華中河濱公園,遊憩區旁,景觀,,121.493091,25.017856,299765.8137,2767845.91
83,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492325,25.017141,299688.7908,2767766.432
84,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492303,25.017189,299686.5511,2767771.741
85,萬華區,華中河濱公園,遊憩區旁,景觀,,121.492281,25.017217,299684.3194,2767774.834
86,中山區,大佳河濱公園,網球場旁,景觀,,121.530588,25.075181,303525.417,2774209.844
87,中山區,大佳河濱公園,網球場旁,景觀,,121.53061,25.075134,303527.6568,2774204.647
88,中山區,大佳河濱公園,網球場旁,景觀,,121.530629,25.075097,303529.5896,2774200.556
89,士林區,社子島沿線(待命名),社子大橋旁,景觀,,121.494725,25.111317,299892.8608,2778198.76
90,士林區,社子島沿線(待命名),社子大橋旁,景觀,,121.494755,25.111277,299895.9026,2778194.34
91,士林區,社子島沿線(待命名),社子大橋旁,景觀,,121.49478,25.111241,299898.4385,2778190.362
92,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514782,25.022832,301952.9381,2768405.202
93,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514771,25.0228,301951.8414,2768401.653
94,中正區,中正河濱公園,中正兒童遊戲場旁,景觀,,121.514769,25.022772,301951.6513,2768398.551
95,內湖區,成美右岸河濱公園,週美活動廣場旁,景觀,,121.581967,25.054533,308718.45,2771944.07
96,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582472,25.054364,308769.49,2771925.57
97,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582488,25.05434,308771.11,2771922.91
98,內湖區,成美右岸河濱公園,兒童遊戲區,景觀,,121.582465,25.054424,308768.75,2771932.21
99,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.535899,25.074556,304061.47,2774142.73
100,中山區,大佳河濱公園,兒童遊戲區,景觀,,121.5359224,25.074536,304063.84,2774140.52
101,中山區,迎風河濱公園,溜冰場附近,景觀,,121.54857,25.0738,305340.09,2774064.12
102,中山區,迎風河濱公園,溜冰場附近,景觀,,121.548606,25.073824,305343.71,2774066.79
103,中山區,迎風河濱公園,溜冰場附近,景觀,,121.548639,25.073838,305347.03,2774068.35
104,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498891,25.099463,300317.86,2776887.28
105,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498883,25.099498,300317.04,2776891.16
106,北投區,河雙21河濱公園,兒童遊戲區,景觀,,121.498865,25.09954,300315.2,2776895.8
107,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535041,24.998545,304008.19,2765722.99
108,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535028,24.998578,304006.86,2765726.64
109,文山區,溪洲河濱公園,溪洲疏散門,景觀,,121.535023,24.99861,304006.34,2765730.18
110,北投區,其他,貴子坑溪,景觀,,121.490081,25.136659,299414.31,2781004.09
111,北投區,其他 ,貴子坑溪,景觀,,121.490077,25.13665,299413.91,2781003.09
112,北投區,其他,貴子坑溪,景觀,,121.490069,25.136633,299413.11,2781001.21
113,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514711,25.090098,301917.43,2775855.95
114,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514738,25.090112,301920.15,2775857.51
115,士林區,百齡右岸河濱公園,百齡橋下,景觀,,121.514773,25.090137,301923.67,2775860.29
116,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.51012,25.093274,301453.02,2776205.98
117,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.510148,25.093301,301455.83,2776208.99
118,士林區,百齡左岸河濱公園,兒童遊戲場旁,景觀,,121.510185,25.093325,301459.55,2776211.66
119,士林區,百齡左岸河濱公園,百齡橋下,景觀,,121.512349,25.088539,301679.84,2775682.36
120,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568854,25.067011,307389.56,2773320.58
121,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568868,25.067006,307390.97,2773320.03
122,松山區,觀山河濱公園,兒童遊戲場旁,景觀,,121.568888,25.067003,307392.99,2773319.71
123,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499701,25.043034,300422.66,2770637.2
124,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499714,25.043007,300423.98,2770634.21
125,萬華區,龍山河濱公園,兒童遊戲場旁,景觀,,121.499731,25.042974,300425.71,2770630.56
126,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488435,25.034544,299289.23,2769692.65
127,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488423,25.034509,299288.03,2769688.77
128,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.48841,25.034484,299286.73,2769686
129,萬華區,雙園河濱公園,兒童遊戲場旁,景觀,,121.488404,25.034454,299286.14,2769682.67
130,北投區,關渡水岸公園,關渡宮旁,固定式,,121.463209,25.117463,296712.1,2778868.25
131,內湖區,成美右岸河濱公園,潭美街與新明路536巷交叉口,固定式,,121.576508,25.052996,308168.37,2771771.46
132,中正區,古亭河濱公園,客家園區鋼橋下,固定式,,121.5225596,25.02001569,302739.1,2768096.28
133,內湖區,大溝溪親水公園,大湖街131巷,固定式,,121.596214,25.090563,310138.36,2775941.25
136,內湖區,金瑞治水園區,內湖路三段,其他,,121.580837,25.091193,308586.99,2776004.28
N1,士林區,雙溪左岸河濱公園,復興橋旁,一般型,,121.5367,25.0997,304127.99,2776927.99
N2,士林區,雙溪左岸河濱公園,士林橋捷運橋上游約10公尺處,無障礙,,121.5367,25.09914,302861.72,2776861.03
N3,士林區,雙溪右岸河濱公園,復興橋旁籃球場(2023/04/30)新增,一般型,,121.5365,25.10106,304113.25,2777078.24
N4,士林區,雙溪右岸河濱公園,雨農橋上游100公尺(2023/04/30)新增,無障礙,,121.5336,25.10117,303816.22,2777089.37
N5,士林區,雙溪右岸河濱公園,福林橋下,無障礙,,121.5268,25.10083,303127.16,2777049.7
N6,士林區,雙溪右岸河濱公園,文昌橋下游籃球場,一般型,,121.5217,25.09881,302615.35,2776823.19
N7,士林區,百齡左岸河濱公園,承德橋下,一般型,,121.5211,25.07731,302562.91,2774441.48
N8,士林區,百齡左岸河濱公園,體健設施,一般型,,121.5139,25.08175,301838.04,2774930.96
N9,士林區,百齡左岸河濱公園,溜冰場,一般型,,121.5127,25.08558,301718.7,2775355.08
N10,士林區,百齡左岸河濱公園,溜冰場,一般型,,121.5127,25.08557,301719.01,2775353.08
N11,士林區,百齡左岸河濱公園,百齡橋下,無障礙,,121.5123,25.08797,301672.91,2775619.53
N12,士林區,百齡左岸河濱公園,百齡橋下游籃球場區,一般型,,121.5122,25.08996,301661.79,2775839.69
N13,士林區,百齡左岸河濱公園,百齡碼頭,一般型,,121.5127,25.08752,301715.66,2775569.625
N14,士林區,百齡左岸河濱公園,百齡碼頭,一般型,,121.5127,25.08752,301715.66,2775569.625
N15,士林區,百齡左岸河濱公園,社子棒球場,一般型,,121.5058,25.09357,301012.81,2776237.56
N16,士林區,百齡左岸河濱公園,社子棒球場,一般型,,121.507,25.09341,301140.17,2776219.54
N17,士林區,百齡左岸河濱公園,星光廣場（三角公園）,無障礙,,121.5028,25.09425,300717.3,2776311.56
N18,士林區,百齡右岸河濱公園,承德橋下,無障礙,,121.5211,25.07853,302566.12,2774577.29
N19,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5166,25.08231,302115.21,2774993.6
N20,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5167,25.08235,302116.8,2774998.7
N21,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.516,25.0842,302047.12,2775203.13
N22,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5137,25.08404,302044.37,2775185.51
N23,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.516,25.084,302047.21,2775180.98
N24,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5147,25.09124,301915.44,2775982.44
N25,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.5138,25.093,301822.1,2776177.03
N26,士林區,百齡右岸河濱公園,體育局球場,無障礙,,121.5138,25.09296,301825.55,2776173.06
N27,士林區,百齡右岸河濱公園,體育局球場,一般型,,121.513,25.094,301743.22,2776284.4
N28,北投區,河雙21號河濱公園,自行車租借站,一般型,,121.509,25.09742,301341.14,2776664.47
N29,北投區,河雙21號河濱公園,自行出租借站,無障礙,,121.5089797,25.09741904,301336.3,2776664.68
N30,北投區,洲美共構段,洲美一抽水站旁,無障礙,,121.4984,25.10969,300268.63,2778020.41
N31,北投區,洲美共構段,五分港木棧橋入口,一般型,,121.5074,25.10868,301169.84,2777911.12
N32,北投區,洲美共構段,自行車越野場地,一般型,,121.499,25.11389,300325.77,2778485.25
N33,北投區,洲美共構段,自行車越野場地,無障礙,,121.498952,25.11376,300318.1592,2778470.93
N34,北投區,關渡防潮堤,貴子坑溪口,一般型,,121.4854,25.11522,298949.76,2778627.88
N35,北投區,關渡自然公園,西南側賞鳥廣場,一般型,,121.4686,25.11525,297252.17,2778624.99
N36,大同區,延平河濱公園,廣澤宮,無障礙,,121.5084,25.06222,301294.18,2772765.84
N37,大同區,延平河濱公園,國順疏散門旁,一般型,,121.509,25.06892,301350.2,2773508.3
N38,大同區,延平河濱公園,淡6敦煌水門,一般型,,121.5082,25.07686,301268.41,2774387.26
N39,大同區,延平河濱公園,淡6敦煌水門,無障礙,,121.5083,25.07682,301271.55,2774382.4
N40,士林區,延平河濱公園,重陽橋下,一般型,,121.5051,25.08581,300953.69,2775376.9
N41,士林區,延平河濱公園,7段頭快樂休息站,一般型,,121.4981,25.09233,300243.51,2776097.13
N42,士林區,延平河濱公園,7段頭快樂休息站,無障礙,,121.4979,25.09254,300222.04,2776119.65
N43,士林區,福安河濱公園,福安公園,一般型,,121.4952,25.09478,299943.35,2776366.74
N44,士林區,福安河濱公園,福安公園,無障礙,,121.4952,25.09474,299947.4,2776362.88
N45,士林區,福安河濱公園,福安碼頭,一般型,,121.4939,25.096,299811.93,2776501.84
N46,士林區,福安河濱公園,福安碼頭,無障礙,,121.4938,25.09604,299809.6,2776505.71
N47,士林區,福安河濱公園,延平北路7段215號涼亭,一般型,,121.4879,25.10056,299209.87,2777004.31
N48,士林區,富洲河濱公園,富洲公園,一般型,,121.4764,25.10508,298051.64,2777501.61
N49,士林區,富洲河濱公園,富洲公園,無障礙,,121.4763,25.10516,298038.19,2777509.87
N50,士林區,富洲河濱公園,社6濕地,一般型,,121.4694,25.10759,297336.61,2777776.25
N51,士林區,社子島基隆河側,抽水站管制中心,一般型,,121.4957,25.10881,299991.61,2777920.98
N52,士林區,社子島基隆河側,抽水站管制中心,無障礙,,121.4957,25.10877,299992.63,2777917
N53,士林區,社子島基隆河側,社子濕地(頭),一般型,,121.4905,25.113,299468.91,2778383.63
N54,士林區,社子島基隆河側,社子濕地(尾),一般型,,121.4894,25.11325,299353.94,2778411.35
N55,士林區,社子島基隆河側,堤頂觀景休憩亭,一般型,,121.477,25.10976,298105.28,2778020.31
N56,士林區,社子島基隆河側,東山宮,一般型,,121.4743,25.10967,297836.95,2778008.62
E1,南港區,南湖左岸河濱公園,基1號疏散門旁,一般型,,121.62153,25.059193,312708.0397,2772477.999
E2,南港區,南湖左岸河濱公園,基左南湖大橋牽引道末端,一般型,,121.612583,25.063099,311803.3695,2772906.536
E3,南港區,南湖左岸河濱公園,南湖左岸編號17號越堤階梯旁,一般型,,121.602801,25.058651,310818.6392,2772409.411
E4,南港區,南湖左岸河濱公園,基2號疏散門旁,無障礙,,121.59389,25.059079,309919.3505,2772452.843
E5,南港區,成美左岸河濱公園外,松河街422號對面堤防旁,一般型,,121.591389,25.057443,309667.804,2772270.523
E6,南港區,成美左岸河濱公園外,松河街與南港路3段106巷口(3號水門旁),一般型,,121.588998,25.055286,309427.6008,2772030.547
E7,南港區,成美左岸河濱公園外,松河街360號對面堤防邊,一般型,,121.586502,25.05387,309176.3379,2771872.608
E8,南港區,成美左岸河濱公園,基左長壽橋旁,無障礙,,121.581199,25.052523,308641.9097,2771721.096
E9,南港區,成美左岸河濱公園,基左長壽橋旁,無障礙,,121.581229,25.052532,308644.94,2771722.1
E10,南港區,成美左岸河濱公園外,松河街282號對面堤防邊,一般型,,121.579803,25.052143,308501.2331,2771678.401
E11,松山區,成美左岸河濱公園外,松河街156號對面堤防邊,一般型,,121.575975,25.051306,308115.38,2771584.04
E12,松山區,成美左岸河濱公園外,松河街76號對面堤防邊,一般型,,121.574189,25.050917,307935.3531,2771540.186
E13,松山區,成美左岸河濱公園外,松河街46號對面堤防邊,一般型,,121.573658,25.050834,307881.8133,2771530.765
E14,松山區,成美左岸河濱公園外,松河街16號抽水站對面堤防邊,一般型,,121.572406,25.05085,307755.4769,2771532.002
E15,松山區,成美左岸河濱公園,基左麥帥一橋旁,一般型,,121.571299,25.051498,307643.4757,2771603.307
E16,松山區,觀山河濱公園,基左麥帥二橋旁,一般型,,121.570492,25.055272,307560.2859,2772020.995
E17,松山區,觀山河濱公園,基左麥帥二橋旁,無障礙,,121.570485,25.055261,307559.59,2772019.77
E18,松山區,觀山河濱公園,5號水門上游50cm堤壁旁,無障礙,,121.569964,25.05689,307506.2566,2772199.99
E19,中山區,觀山河濱公園,基5號門旁,無障礙,,121.569528,25.058917,307461.33,2772424.32
E20,中山區,觀山河濱公園,基6號水門上游民權福德宮旁,一般型,,121.568609,25.062968,307366.7116,2772872.652
E21,松山區,觀山河濱公園,基左高速公路上游320m停車場周邊,一般型,,121.568905,25.068258,307394.1106,2773458.731
E22,中山區,迎風河濱公園,基左高速公路棒球場旁,一般型,,121.570247,25.072642,307527.4534,2773944.901
E23,中山區,迎風河濱公園,基左高速公路棒球場旁,一般型,,121.570271,25.072623,307529.89,2773942.8
E24,中山區,迎風河濱公園,板球場旁,一般型,,121.568014,25.073127,307301.9631,2773997.671
E25,中山區,迎風河濱公園,基左高速公路下游壘球場50m處,一般型,,121.567145,25.071784,307214.9106,2773848.547
E26,中山區,迎風河濱公園,基左高速公路下游壘球場50m處,一般型,,121.567171,25.07179,307217.54,2773849.22
E27,中山區,迎風河濱公園,基左狗運動公園停車場周邊,一般型,,121.56519,25.071661,307017.7385,2773834.097
E28,中山區,迎風河濱公園,基左狗運動公園停車場周邊,無障礙,,121.56518,25.071639,307016.75,2773831.65
E29,中山區,迎風河濱公園,基左7號疏散門上游500m停車場周邊,無障礙,,121.556782,25.073359,306168.7386,2774018.63
E30,中山區,迎風河濱公園,基左7號疏散門上游500m停車場周邊,一般型,,121.556782,25.073334,306168.7386,2774015.89
E31,中山區,迎風河濱公園,基左7號門疏散門上游足球場停車場旁,一般型,,121.5532,25.073676,305807.2275,2774052.285
E32,中山區,迎風河濱公園,基左7號門疏散門上游足球場停車場旁,無障礙,,121.553209,25.073677,305808.1368,2774052.399
E33,中山區,迎風河濱公園,基左7號疏散門下游280m停車場周邊,無障礙,,121.550785,25.073856,305563.5074,2774071.231
E34,中山區,迎風河濱公園,基左7號疏散門下游280m停車場周邊,一般型,,121.550786,25.07383,305563.63,2774068.35
E35,中山區,迎風河濱公園,基左河岸77號路燈旁,一般型,,121.549215,25.07524,305404.499,2774223.888
E36,中山區,迎風河濱公園,基左大直橋上游220m停車場周邊,一般型,,121.546153,25.073728,305096.29,2774055.15
E37,中山區,迎風河濱公園,基左大直橋上游220m停車場周邊,無障礙,,121.546139,25.07375,305094.86,2774057.59
E38,中山區,大佳河濱公園,基左8號疏散門前方停車場周邊,無障礙,,121.54012,25.073882,304487.5926,2774069.767
E39,中山區,大佳河濱公園,基左8號疏散門前方停車場周邊,一般型,,121.54009,25.073882,304484.5662,2774069.767
E40,中山區,大佳河濱公園,基左9號疏散門前方15號路燈旁,一般型,,121.5382474,25.07370502,304298.8,2774049.41
E41,內湖區,南湖右岸河濱公園,基右南湖大橋旁,一般型,,121.611219,25.063554,311665.5249,2772956.312
E42,內湖區,南湖右岸河濱公園,基右南湖右12號水門上游100公尺處,一般型,,121.5981,25.060039,310343.5571,2772561.046
E43,內湖區,南湖右岸河濱公園,基12號門下游20m處,一般型,,121.594028,25.061028,309932.23,2772668.78
E44,內湖區,成美右岸河濱公園,基右成功橋牽引道末端,一般型,,121.590944,25.059472,309621.83,2772495.07
E45,內湖區,成美右岸河濱公園,基13號門旁,無障礙,,121.587806,25.057278,309306.28,2772250.67
E46,內湖區,成美右岸河濱公園外,潭美街196停車格旁,一般型,,121.587528,25.057111,309278.31,2772232.05
E47,內湖區,成美右岸河濱公園,基13號門下游100公尺處,一般型,,121.58625,25.056444,309149.68,2772157.61
E48,內湖區,成美右岸河濱公園,基右成美橋上游50公尺壘球場旁,一般型,,121.584984,25.055761,309022.2758,2772081.4
E49,內湖區,成美右岸河濱公園外,潭美街100號106.107停車格旁,無障礙,,121.581987,25.054587,308720.4446,2771950.056
E50,內湖區,彩虹河濱公園,基右麥帥一橋下,無障礙,,121.574403,25.053325,307955.82,2771807
E51,內湖區,彩虹河濱公園,基右麥帥一橋下,一般型,,121.574252,25.053422,307940.54,2771817.68
E52,內湖區,彩虹河濱公園,基右麥帥一橋下游250M停車場處,一般型,,121.57359,25.055155,307872.9229,2772009.357
E53,內湖區,彩虹河濱公園,基右麥帥二橋旁,一般型,,121.573166,25.057025,307829.2645,2772216.308
E54,內湖區,彩虹河濱公園,基右麥帥二橋旁,無障礙,,121.573169,25.057011,307829.58,2772214.76
E55,中山區,彩虹河濱公園,基右河岸新民權出水口旁,一般型,,121.5715665,25.06154802,307665.814,2772716.62
E56,內湖區,彩虹河濱公園,輪狀車場上游側,無障礙,,121.572489,25.059011,307760.04,2772436
E57,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,一般型,,121.572444,25.061948,307754.12,2772761.3
E58,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,一般型,,121.57245,25.061896,307754.75,2772755.54
E59,內湖區,彩虹河濱公園,基右民權大橋上游350M停車場周邊,無障礙,,121.572463,25.061844,307756.08,2772749.79
E60,內湖區,彩虹河濱公園,基右河岸新民權出水口旁,一般型,,121.5715665,25.06154802,307665.814,2772716.62
E61,內湖區,彩虹河濱公園,基右民權大橋下游壘球場堤壁旁,一般型,,121.5720325,25.065324,307711.061,2773135.07
E62,內湖區,彩虹河濱公園,基右民權大橋旁上游停車場處,無障礙,,121.57213,25.064261,307721.35,2773017.37
E63,中山區,美堤河濱公園,基右高速公路橋下方旁,一般型,,121.573111,25.071056,307817.14,2773770.44
E64,中山區,美堤河濱公園,基右美堤壘球場周邊,一般型,,121.564926,25.075787,306989.2,2774291
E65,中山區,美堤河濱公園,基右美堤壘球場周邊,無障礙,,121.564889,25.075917,306985.41,2774305.39
E66,中山區,美堤河濱公園,環山抽水站前停車場旁,一般型,,121.563493,25.075798,306844.6275,2774291.623
E67,中山區,美堤河濱公園,基右美堤環山出水口路燈旁,一般型,,121.5627,25.075109,306764.9464,2774214.972
E68,中山區,美堤河濱公園,基右美堤河岸棒壘球場旁,一般型,,121.563972,25.074167,306893.71,2774111.16
